,scraped_bday,home_town,scraped_dday,living_status,summary,wiki_page,image
Steve Byrne,1974-7-21,"Freehold Township, New Jersey|Freehold, New Jersey",,Alive,"Steve Byrne (born July 21, 1974) is an American stand-up comedian and actor. He is best known for creating and starring in Sullivan & Son.Steve Byrne was born in Freehold, New Jersey. Byrne grew up in Pittsburgh, Pennsylvania, and went to Hampton High School.",https://en.wikipedia.org/wiki/Steve_Byrne,https://upload.wikimedia.org/wikipedia/commons/b/bc/Steve_Byrne_at_ATX_TV_Festival_2014_Sullivan_and_Son.jpg
Gary Owen,1974-7-26,"Cincinnati, Ohio, U.S.",,Alive,"Gary Owen (born July 26, 1974) is an American actor and stand-up comedian. After being named ""Funniest Serviceman In America,"" his big break came in 1997 on Black Entertainment Television's stand-up showcase Comic View. Owen followed this debut with featured roles in the films Daddy Day Care, Little Man, and College.  He has cultivated a very large African-American following after headlining on cable channel BET and performing at targeted events, such as Shaquille O'Neal's All-Star Comedy Jam Tour.",https://en.wikipedia.org/wiki/Gary_Owen_(comedian),https://upload.wikimedia.org/wikipedia/commons/e/ed/Gary_Owen_image_for_Wikipedia.jpg
Brad Williams,1984-01-13,"Orange, California, U.S.",,Alive,"Brad Williams (born January 13, 1984) is an American stand-up comedian and actor, who has appeared in numerous films and television shows. He was born with achondroplasia.Williams was born with achondroplasia, a type of dwarfism. His condition plays a large part in the bits in both his stand-up comedy and television roles.",https://en.wikipedia.org/wiki/Brad_Williams_(comedian),No Image
Adele Givens,1960-7-1960-9-10,"Chicago, Illinois, U.S.",,Alive,"Adele Givens, (born July 1, 1960[citation needed] or September 10, 1960[citation needed]) is an American comedian, actress and writer. Beginning her career during the late–1980s in comedy, Givens television appearances include The Hughleys, Moesha, The Parkers, Comedy Central Presents, Def Comedy Jam, Russell Simmons Presents Def Poetry, Martin, Tracey Takes On...",https://en.wikipedia.org/wiki/Adele_Givens,No Image
Vic Dibitetto,1961-2-9,"Brooklyn, New York (state)|New York, United States",,Alive,"Victor Robert DiBitetto (born February 9, 1961) is an American stand-up comedian, Internet personality, and actor. He often refers to himself as “The Donkey of Comedy,” or “The Working Class Zero.” Dibitetto is known for his YouTube videos, most notably his ""Bread and Milk"" video,[4] and for portraying Gino Chizetti in the 2015 comedy film, Paul Blart: Mall Cop 2.[5]DiBitetto is expected to appear in a Hulu sitcom named, ""Don't Know Jack,""[6][7] but no further updates about the project have been announced since 2015.",https://en.wikipedia.org/wiki/Vic_Dibitetto,https://upload.wikimedia.org/wikipedia/commons/1/14/VicDibitetto.jpg
Fortune Feimster,1980-7-1,"Charlotte, North Carolina|Charlotte, North Carolina, U.S.",,Alive,"Emily Fortune Feimster (/ˈfiːmstər/; born July 1, 1980)[1] is an American writer, comedian, and actress. Having made her television debut on NBC's Last Comic Standing in 2010,[1] Feimster starred as Colette on The Mindy Project (2015–2017). In July 2019, she began hosting  What a Joke with Papa and Fortune with Tom Papa, interviewing comedians and celebrities, the first live programming on the Sirius XM's channel Netflix is a Joke.[2] In 2019, reports confirmed Feimster would participate in The L Word: Generation Q,[3] a reboot of The L Word.",https://en.wikipedia.org/wiki/Fortune_Feimster,https://upload.wikimedia.org/wikipedia/commons/0/0d/Fortune_Feimster_2016.png
Steve-O,1974-6-13,"Wimbledon, London|Wimbledon, England",,Alive,"Stephen Gilchrist Glover (born 13 June 1974), known professionally as Steve-O, is a British–American television personality, stunt performer, actor, writer, producer, stand-up comedian, and musician.[2]  His entertainment career is mostly centered on his performance stunts on the American television series Jackass (2000–2002) and its related movies, including Jackass: The Movie (2002), Jackass Number Two (2006) and Jackass 3D (2010), as well as its spin-off series Wildboyz (2003–2006).Stephen Gilchrist Glover was born in Wimbledon, London,[3] on June 13, 1974.[4] His mother, Donna Gay Glover (née Wauthier; d.",https://en.wikipedia.org/wiki/Steve-O,https://upload.wikimedia.org/wikipedia/commons/5/55/Steve-O_by_Gage_Skidmore.jpg
Adam Carolla,1964-5-27,"Los Angeles County, California, U.S.",,Alive,"Adam Carolla (born May 27, 1964)[2] is an American radio personality, actor and podcaster. He hosts The Adam Carolla Show, a talk show distributed as a podcast which set the record as the ""most downloaded podcast"" as judged by Guinness World Records in 2011.[3]Carolla co-hosted with Drew Pinsky MD the syndicated radio call-in program Loveline from 1995 to 2005 as well as the show's television incarnation on MTV from 1996 to 2000. He was the co-host and co-creator of the television program The Man Show (1999–2004), and the co-creator and a regular performer on the television show Crank Yankers (2002–2007).",https://en.wikipedia.org/wiki/Adam_Carolla,https://upload.wikimedia.org/wikipedia/commons/f/f1/2017-02-25_Adam_Carolla.jpg
Craig Shoemaker,1958-11-15,"Philadelphia, Pennsylvania, U.S.",,Alive,"Craig Shoemaker (born November 15, 1964) has had a career in show business, spanning over three decades as a stand up comedian, actor, author, writer and producer. He was named Comedian of the Year at The American Comedy Awards on ABC and garnered two NATAS Emmy awards. His 90-minute stand-up special, Daditude, aired prime time on SHOWTIME Network and was on the front page on Netflix for several months.Craig grew up in the Philadelphia area and graduated from Springfield Township High School.",https://en.wikipedia.org/wiki/Craig_Shoemaker,No Image
Maria Bamford,1970-9-3,"Port Hueneme, California, U.S.",,Alive,"Maria Elizabeth Sheldon Bamford (born September 3, 1970)[1] is an American stand-up comedian, actress, and voice actress. She is best known for her portrayal of her dysfunctional family and self-deprecating comedy involving jokes about depression and anxiety.Her first comedy album and tour was The Burning Bridges Tour (2003), followed by eight more albums and specials to date. She appeared in her first feature film, Lucky Numbers (2000), before lending her voice to characters on many different animated shows, including Shriek on CatDog, and many more characters on American Dad!, Ugly Americans, Adventure Time, and BoJack Horseman.",https://en.wikipedia.org/wiki/Maria_Bamford,https://upload.wikimedia.org/wikipedia/commons/b/be/Mariba.JPG
David Spade,1964-7-22,"Birmingham, Michigan, U.S.",,Alive,"David Wayne Spade (born July 22, 1964)[1] is an American actor and comedian. He was a cast member on Saturday Night Live in the 1990s, and he later began an acting career in both film and television. He also starred or co-starred in the films  Police Academy 4 (1987),  Tommy Boy (1995), Black Sheep (1996), Joe Dirt (2001), Joe Dirt 2: Beautiful Loser (2015), Grown Ups (2010), Grown Ups 2 (2013), and Father of the Year (2018) among others.He has been part of an ensemble cast of two long-running sitcoms: Just Shoot Me! (1997–2003) and Rules of Engagement (2007–2013).",https://en.wikipedia.org/wiki/David_Spade,https://upload.wikimedia.org/wikipedia/commons/4/40/David_Spade2_%28cropped%29.jpg
Rob Schneider,1963-10-31,"San Francisco, California, U.S.",,Alive,"Robert Michael Schneider (/ˈʃnaɪdər/; born October 31, 1963) is an American actor, comedian, screenwriter, and director. A stand-up comic and veteran of the NBC sketch comedy series Saturday Night Live, he went on to a career in feature films, including starring roles in the comedy films Deuce Bigalow: Male Gigolo, The Animal, The Hot Chick, The Benchwarmers, and Grown Ups. Schneider is the father of singer Elle King.Schneider was born in San Francisco, California, and grew up in the nearby suburb of Pacifica.",https://en.wikipedia.org/wiki/Rob_Schneider,https://upload.wikimedia.org/wikipedia/commons/8/80/Rob_Schneider_Photo_Op_GalaxyCon_Raleigh_2019.jpg
Jay Pharoah,1987-10-14,"Chesapeake, Virginia, U.S.",,Alive,"Jared Antonio Farrow (born October 14, 1987), better known by his stage name Jay Pharoah, is an American actor, stand-up comedian, and impressionist. He joined the cast of NBC's Saturday Night Live in 2010, for its thirty-sixth season.[1] In 2015, he was ranked the 55th greatest Saturday Night Live cast member by Rolling Stone magazine.[2]Pharoah began doing impersonations at age six and cites Gilbert Gottfried's character in Aladdin, Iago, as his first voice, explaining, ""My father put me in a talent competition a couple of months later, and out of the whole thing I got fifth place.",https://en.wikipedia.org/wiki/Jay_Pharoah,https://upload.wikimedia.org/wikipedia/commons/5/5a/Jay_Pharoah_by_Gage_Skidmore.jpg
Tracy Morgan,1968-11-10,"The Bronx, New York, U.S.",,Alive,"Tracy Jamel Morgan (born November 10, 1968)[1] is an American actor, voice actor and comedian best known for his seven seasons as a cast member on Saturday Night Live (1996–2003) and 30 Rock (2006–2013). He was nominated for an Emmy Award in 2009 for his work on 30 Rock. He has appeared in numerous films as an actor and voice actor.Morgan was born in the Bronx and raised in Tompkins Houses in Bedford Stuyvesant, Brooklyn.",https://en.wikipedia.org/wiki/Tracy_Morgan,https://upload.wikimedia.org/wikipedia/commons/9/95/Tracy_Morgan_3_Shankbone_2009_NYC.jpg
Jon Lovitz,1957-07-21,"Los Angeles|Los Angeles, California, U.S.",,Alive,"Jonathan Michael Lovitz (/ˈloʊvɪts/; born July 21, 1957)[1] is an American actor, comedian and singer. He is best known as a cast member of Saturday Night Live from 1985 to 1990. He starred as Jay Sherman in The Critic and has appeared in numerous other television series and films.His film credits include roles in The Brave Little Toaster, Rat Race,  Big, A League of Their Own, High School High, The Wedding Singer,  Happiness, and The Benchwarmers.",https://en.wikipedia.org/wiki/Jon_Lovitz,https://upload.wikimedia.org/wikipedia/commons/5/55/Jon_Lovitz_Mercedes-Benz_Carousel_of_Hope_Gala_2014_%28cropped%29.jpg
Edwin San Juan,1969-2-24,Philippines,,Alive,"Edwin San Juan (born February 24, 1969) is a Filipino American actor and comedian who is known for sharing his multicultural life experiences, his observational humor, word play and for poking fun at ethnic stereotypes. He is the creator and Executive Producer of 'SlantED Comedy', a showcase of Asian American stand-up comedians televised on Showtime and also performs across the country and internationally.San Juan's first film appearance was in ""I'm Not Like That No More"" (2010), a comedy co-starring Felipe Esparza and Paul Rodriguez. He has entertained American troops on the USO tour ""Around the World in Eight Days"", and has made several TV appearances including Comedy Central's Live at Gotham, 'Comics without Borders' on Showtime, ' The Payaso Comedy Slam' on both Showtime and Comedy Central, Comics Unleashed with Byron Allen on ABC, UPN's 'Live from Hollywood', BET’s Comic View, Galavision’s 'Que Locos' & 'Loco Comedy Jam', Si TV’s 'Latino Laugh Festival', 'Inside Joke' and 'Latino 101', 'Destination Stardom' on NBC, 'International Sexy Ladies Show' on G4 TV and also reigned as the grand champion of the 'Talent Agency' on UPN with 9 consecutive victories.",https://en.wikipedia.org/wiki/Edwin_San_Juan,https://upload.wikimedia.org/wikipedia/commons/4/47/2009_Comedy_Jam_144.JPG
Chad Daniels,1975-3-2,"Fergus Falls, Minnesota",,Alive,"Chad Danger Daniels is an American comedian from Fergus Falls, Minnesota.[2][3]Chad started performing standup comedy at an open mic night at ACME Comedy Company in 1998.  His performance earned him a job offer from the comedy club Westward Ho in Grand Forks, North Dakota.  In 2003, Chad performed in Comedy Central’s Laugh Riots competition where he was a finalist.",https://en.wikipedia.org/wiki/Chad_Daniels,https://upload.wikimedia.org/wikipedia/commons/9/98/Comedian_Chad_Daniels_performing_live.jpg
Cristela Alonzo,1979-01-6,"San Juan, Texas, U.S.",,Alive,"Cristela Alonzo (born January 6, 1979)[1] is an American comedian, actress, writer and producer, who created and starred in the ABC sitcom Cristela.[2] This made her the first Latina woman to create, produce, write, and star in her own US primetime comedy.[3][4]Alonzo was born in San Juan, Texas, the youngest of four children of mother Natalia Gonzalez, who worked double shifts at a Mexican restaurant for about 20 years,[5] and father Adalberto Alonzo, both of whom were from Mexico.[1] When Alonzo's mother was pregnant with Alonzo, Alonzo's mother left her abusive husband and raised the children alone.",https://en.wikipedia.org/wiki/Cristela_Alonzo,https://upload.wikimedia.org/wikipedia/commons/8/8b/Cristela_Alonzo.jpg
Orny Adams,1970-11-10,"Lexington, Massachusetts",,Alive,"Orny Adams (born Adam Jason Orenstein[1] on 10 November 1970) is an American actor, comedy writer and stand-up comic.[2] He is best known for his role as Coach Bobby Finstock for the MTV series Teen Wolf.Adams was born in Lexington, Massachusetts.[1] He was raised in a Conservative Judaism household, and at summers he attended Camp Tel Noar in nearby New Hampshire.",https://en.wikipedia.org/wiki/Orny_Adams,No Image
Ahmed Ahmed,1970-6-27,"Helwan, Egypt",,Alive,"Ahmed Ahmed (Arabic: أحمد أحمد‎, IPA: [ˈæħmæd ˈæħmæd]; born June 27, 1970) is an Egyptian-American actor and comedian.[1]Ahmed Ahmed was born in Helwan, Egypt. His family moved to the United States when he was one month old[2] and he grew up in Riverside, California.Ahmed Ahmed moved to Hollywood when he was 19 years old to pursue a career as an actor and stand-up comedian, and he has been working there ever since.",https://en.wikipedia.org/wiki/Ahmed_Ahmed,https://upload.wikimedia.org/wikipedia/commons/9/99/Ahmed_Ahmed_2010_Tribeca_FF_Shankbone.jpg
Carlos Alazraqui,1962-7-20,"Yonkers, New York, United States|U.S.",,Alive,"Carlos Jaime Alazraqui (born July 20, 1962) is an American stand-up comedian, actor, voice actor, singer, impressionist, producer and screenwriter, possibly best known for his role as Deputy James Garcia on Reno 911!. His extensive voice-over work includes the role of Spyro from Spyro The Dragon, Leslie P. Lilylegs on New Looney Tunes, the Taco Bell chihuahua in the Taco Bell commercials, Denzel Crocker and Juandissimo Magnifico on The Fairly OddParents, Rocko and Spunky on Rocko's Modern Life, Lazlo & Clam in Camp Lazlo, Rikochet in ¡Mucha Lucha!, Grandpapi Rivera in El Tigre: The Adventures of Manny Rivera, and as Mr. Weed in Family Guy.",https://en.wikipedia.org/wiki/Carlos_Alazraqui,https://upload.wikimedia.org/wikipedia/commons/b/b5/Carlos_Alazraqui_at_Flappers_in_Burbank_20190706_%28cropped%29.jpg
Ted Alexandro,1969-1-26,"Bellerose, Queens, New York, U.S.",,Alive,"Ted Alexandro (born January 26, 1969) is a stand-up comedian[2] from New York City. He has appeared on most late night talk shows and has had his own half-hour specials on Comedy Central[3].Alexandro is a native of Bellerose, Queens, New York, and he attended St. Francis Preparatory School, then the City College of New York, with a major in music with a concentration in jazz piano.",https://en.wikipedia.org/wiki/Ted_Alexandro,No Image
Fred Allen,1894-5-31,"Cambridge, Massachusetts, U.S.",1956-3-17,Deceased,"John Florence Sullivan (May 31, 1894 – March 17, 1956), known professionally as Fred Allen, was an American comedian.  His absurdist, topically pointed radio program The Fred Allen Show (1932–1949) made him one of the most popular and forward-looking humorists in the Golden Age of American radio.[1][2]His best-remembered gag was his long-running mock feud with friend and fellow comedian Jack Benny, but it was only part of his appeal; radio historian John Dunning (in On the Air: The Encyclopedia of Old-Time Radio) wrote that Allen was perhaps radio's most admired comedian and most frequently censored.[3] A master ad libber, Allen often tangled with his network's executives (and often barbed them on the air over the battles) while developing routines whose style and substance influenced fellow comic talents, including Groucho Marx, Stan Freberg, Henry Morgan and Johnny Carson; his avowed fans also included President Franklin D.",https://en.wikipedia.org/wiki/Fred_Allen,https://upload.wikimedia.org/wikipedia/commons/0/0e/Fred_allen_1940s_NBC_photo.JPG
Steve Allen,1921-12-26,"New York City, U.S.",2000-10-30,Deceased,"Stephen Valentine Patrick William Allen (December 26, 1921 – October 30, 2000) was an American television personality, radio personality, musician, composer, actor, comedian, writer, and advocate of scientific skepticism. In 1954, he achieved national fame as the co-creator and first host of The Tonight Show, which was the first late night television talk show.Though he got his start in radio, Allen is best known for his extensive network television career. He gained national attention as a guest host on Arthur Godfrey's Talent Scouts.",https://en.wikipedia.org/wiki/Steve_Allen,https://upload.wikimedia.org/wikipedia/commons/d/d2/Steve_Allen_-_press_photo.JPG
Tim Allen,1953-6-13,"Denver, Colorado",,Alive,"Timothy Alan Dick[1] (born June 13, 1953), known professionally as Tim Allen, is an American actor and comedian. He is known for playing Tim ""The Toolman"" Taylor on the ABC sitcom Home Improvement (1991–1999) and Mike Baxter on the ABC/Fox sitcom Last Man Standing (2011–). He voices Buzz Lightyear for the Toy Story franchise and played Scott Calvin and Santa Claus in the Santa Clause film trilogy (1994–2006). Allen's other films include For Richer or Poorer (1997), Jungle 2 Jungle (1997), Galaxy Quest (1999), Big Trouble (2002), Christmas with the Kranks (2004), The Shaggy Dog (2006), Wild Hogs (2007), Redbelt (2008), and Crazy on the Outside (2010).",https://en.wikipedia.org/wiki/Tim_Allen,https://upload.wikimedia.org/wikipedia/commons/f/ff/Tim_Allen_cropped.jpg
Woody Allen,1935-12-01,"New York City, U.S.",,Alive,"Heywood ""Woody"" Allen (born Allan Stewart Konigsberg; December 1, 1935) is an American director, writer, actor, and comedian whose career spans more than six decades and multiple Academy Award-winning movies. He began his career as a comedy writer on Sid Caesar's comedy variety program, Your Show of Shows, working alongside Mel Brooks, Carl Reiner, Larry Gelbart and Neil Simon.[1] He also began writing material for television, published several books featuring short stories, and writing humor pieces for The New Yorker. In the early 1960s, he performed as a stand-up comedian in Greenwich Village alongside Lenny Bruce, Elaine May, Mike Nichols, and Joan Rivers.",https://en.wikipedia.org/wiki/Woody_Allen,https://upload.wikimedia.org/wikipedia/commons/8/89/Woody_Allen_Cannes_2016.jpg
Jeff Altman,1951-8-13,"Syracuse, New York, U.S.",,Alive,"Jeff Altman (born August 13, 1951) is an American stand-up comedian and actor[1] who has appeared as a guest on Late Night with David Letterman and Late Show with David Letterman a combined 45 times. Altman mesmerized contemporaries like David Letterman and Jerry Seinfeld, and inspired future comedians like Judd Apatow.[2]Altman has also had numerous acting roles in movies and television such as Dr. Gene Splicer in Tiny Toon Adventures, Professor Dweeb in Slimer and The Real Ghostbusters, Clint Mullet on Mork and Mindy, and five different guest characters on Baywatch.",https://en.wikipedia.org/wiki/Jeff_Altman,No Image
Amazing Johnathan,1958-9-9,"Detroit, Michigan, U.S.",,Alive,"John Edward Szeles (born September 9, 1958), better known by the stage name The Amazing Johnathan, is an American stand-up comedian/magician. His act is mostly composed of hijinks, interaction with one specific audience member, and a few legitimate magic tricks. From 2001 to 2014, he was a year-round headliner in Las Vegas. Self-described as the ""Freddy Krueger of Comedy"",[2] Szeles performs wearing his everpresent headband and his shows frequently use gore, such as pretending to suck on his own hanging eyeball, cutting his wrists, and skewering his own tongue.",https://en.wikipedia.org/wiki/Amazing_Johnathan,https://upload.wikimedia.org/wikipedia/commons/0/09/The_Amazing_Johnathan%2C_2008.jpg
Max Amini,1981-09-20,"Tucson, Arizona, U.S.",,Alive,"Max Amini (Persian: مکس امینی‎, Persian pronunciation: [mæks æmiːniː] born in Tucson, Arizona) is an Iranian American comedian.[1] He is trilingual in English, Persian and Azeri Turkic.[2][3] As an actor, Max has numerous film and television credits including NBC's Heroes, regular appearances on Comedy Central's Mind of Mencia, and a leading role in the film How Beer Pong Saved my Life.Max Amini was born in Tucson Arizona, to Iranian parents who immigrated to Arizona.",https://en.wikipedia.org/wiki/Max_Amini,https://upload.wikimedia.org/wikipedia/commons/c/c3/IMBD_Max_Amini.jpg
Louie Anderson,1953-3-24,"Saint Paul, Minnesota|Saint Paul, Minnesota, U.S.",,Alive,"Louis Perry Anderson (born March 24, 1953) is an American stand-up comedian, actor, author and game show host.[2] Anderson created the cartoon series Life with Louie and has written four books, including Hey Mom: Stories for My Mother, But You Can Read Them Too, which was published in 2018. He was the initial host of the third revival of the game show Family Feud from 1999 to 2002.For his performance on the FX comedy television series Baskets, Anderson received three consecutive Primetime Emmy Award for Outstanding Supporting Actor in a Comedy Series nominations and won once in 2016.",https://en.wikipedia.org/wiki/Louie_Anderson,https://upload.wikimedia.org/wikipedia/commons/9/92/Louie_Anderson.jpg
Eric André,1983-4-4,"Boca Raton, Florida, U.S.",,Alive,"Eric Andre (born April 4, 1983) is an American comedian, actor, producer, and musician. He is best known as the creator, host, and co-writer of the Adult Swim comedy series The Eric Andre Show (2012–present). He also played Mike on the FXX series Man Seeking Woman (2015–2017) and voiced Azizi in the live-action remake of The Lion King (2019). He performs music under the name Blarf.",https://en.wikipedia.org/wiki/Eric_Andre,https://upload.wikimedia.org/wikipedia/commons/5/53/Eric_Andre_%287440656420%29.jpg
Andy Andrist,1965-08-19,Oregon,,Alive,"Andrew J. Andrist (born August 19, 1965) is an American stand-up comedian and former writer for Comedy Central's The Man Show.Andrist is also one of the original members of Doug Stanhope's comedy group known as The Unbookables. Other members of the Unbookables include Sean Rouse, Henry Phillips, Otto & George, James Inman, Tom Rhodes, Auggie Smith, Lynn Shawcroft, Neil Hamburger, Travis Lipski, Brendon Walsh, Joey Diaz, Kristine Levine, Brett Erickson, and others.",https://en.wikipedia.org/wiki/Andy_Andrist,No Image
Aziz Ansari,1983-2-23,"Columbia, South Carolina, U.S.",,Alive,"Aziz Ismail Ansari[1] (/ənˈsɑːri/; born February 23, 1983) is an American actor, writer, producer, director, and comedian. He is known for his role as Tom Haverford on the NBC series Parks and Recreation (2009–2015), and as creator and star of the Netflix series Master of None (2015–2017) for which he won several acting and writing awards, including two Emmys and a Golden Globe for Best Actor – Television Series Musical or Comedy. With his Golden Globe win, Ansari became the first American actor of Asian descent to win a Golden Globe for acting in television.[2][3][4]Ansari began his career performing comedy in New York City in mid-2000 while attending New York University.",https://en.wikipedia.org/wiki/Aziz_Ansari,https://upload.wikimedia.org/wikipedia/commons/e/e1/Aziz_Ansari_2012_Shankbone.JPG
Craig Anton,1962-8-28,"Omaha, Nebraska, U.S.",,Alive,"Craig Ward Anton (born August 28, 1962) is an American actor and comedian. He is best known for his roles as Mr. Pettus in Lizzie McGuire and Lloyd Diffy in Phil of the Future.Anton was born and raised in Omaha, Nebraska, the eldest son of Antoinette (Akromis) and Arthur Ward Anton.",https://en.wikipedia.org/wiki/Craig_Anton,No Image
David A. Arnold,1968-3-15,"Cleveland, Ohio",,Alive,"David A. Arnold (born March 15, 1968) is an American stand-up comedian, sitcom writer and actor.Arnold has been performing since 1997.[1] He performed at the Montreal Comedy Festival, on Jamie Foxx Presents Laffapalooza (Comedy Central) with Jamie Foxx and Cedric the Entertainer, The Tom Joyner Show, Baisden After Dark, Comics Unleashed with Byron Allen, ComicView, The Mo'Nique Show, Entourage (HBO) and Def Comedy Jam.",https://en.wikipedia.org/wiki/David_A._Arnold,No Image
Cliff Arquette,1905-12-27,"Toledo, Ohio, U.S.",1974-9-23,Deceased,"Clifford Charles Arquette[1] (December 27, 1905 - September 23, 1974) was an American actor and comedian, famous for his persona, Charlie Weaver, played on numerous television shows. [2]Arquette was born on December 27, 1905, in Toledo, Ohio, the youngest of four children born to Winifred Ethel Clark (July 30, 1878-February 12, 1966) and Charles Augustus Arquette (October 23, 1878 - August 12, 1927), a vaudevillian.[3] His siblings were Naomi ""Jane"" Arquette Hammett (1899-1934), Russell Arquette (1901-1982), and Lester Kear Arquette (1904-1969). Cliff was of part French-Canadian descent, and his family's surname was originally ""Arcouet"".",https://en.wikipedia.org/wiki/Cliff_Arquette,https://upload.wikimedia.org/wikipedia/commons/c/cb/Cliff_Arquette_1941.JPG
